,Missing Count,Missing %
age,0,0.0
income,0,0.0
loan_amount,0,0.0
loan_duration,0,0.0
num_dependents,0,0.0
prev_defaults,0,0.0
employment_years,0,0.0
credit_utilization,0,0.0
default,0,0.0
