,accuracy,precision,recall,f1,roc_auc
Logistic Regression,0.7166666666666667,0.0,0.0,0.0,0.6046922024623804
XGBoost,0.7966666666666666,0.74,0.43529411764705883,0.5481481481481482,0.8098905608755129
